content,label
"As a condition to using Services, Subscriber will be required to register with 9GAG, Inc and select a password and 9GAG, Inc URL. Subscriber shall provide 9GAG, Inc with accurate, complete, and updated registration information, including Subscriber’s e-mail address. Failure to do so shall constitute a breach of this Agreement, which may result in immediate termination of Subscriber's account. Subscriber may not (a) select or use as a 9GAG, Inc URL a name of another person with the intent to impersonate that person; or (b) use as a 9GAG, Inc URL a name subject to any rights of a person other than Subscriber without appropriate authorization. 9GAG, Inc reserves the right to refuse registration of, or cancel a 9GAG, Inc URL in its discretion. Subscriber shall be responsible for maintaining the confidentiality of Subscriber's 9GAG, Inc password. Subscriber is solely responsible for any use of or action taken under Subscriber’s password and accepts full responsibility for all activity conducted through Subscriber’s account and agrees to and hereby releases the Site and 9GAG, Inc from any and all liability concerning such activity. Subscriber agrees to notify 9GAG, Inc immediately of any actual or suspected loss, theft, or unauthorized use of Subscriber’s account or password. The Site will take reasonably security precautions when using the internet, telephone or other means to transport date or other communications, but expressly disclaims any and all liability for the accessing of any such data communications by unauthorized persons or entities.",unc
"Subscriber will indemnify and hold 9GAG, Inc, its directors, officers and employees, harmless, including costs and attorneys' fees, from any claim or demand made by any third party due to or arising out of Subscriber’s access to the Site, use of the Services, the violation of this Agreement by Subscriber, or the infringement by Subscriber, or any third party using the Subscriber's account, of any intellectual property or other right of any person or entity.",unc
"In no event shall 9GAG, Inc, its directors, officers, shareholders, employees or members be liable with respect to the Site or the Services for (a) any indirect, incidental, punitive, or consequential damages of any kind whatsoever; (b) damages for loss of use, profits, data, images, Subscriber Content or other intangibles; (c) damages for unauthorized use, non-performance of the Site, errors or omissions; or (d) damages related to downloading or posting Content.",ltd2
"9GAG, Inc's and the Site's collective liability under this agreement shall be limited to three hundred U.S. Dollars.",ltd2
"Some of the Services require payment of fees. All fees are stated in U.S. dollars. Subscriber shall pay all applicable fees, as described on the Site in connection with such Services selected by Subscriber, and any related taxes or additional charges. All fees are non-refundable unless expressly stated otherwise on the Site. Subscriber represents to 9GAG, Inc that Subscriber is the authorized account holder or an authorized user of the chosen method of payment used to pay for the paid aspects of the Services. All fee-based Services and virtual goods are provided “AS IS” with no warranties of any kind. ",unc
"9GAG, Inc may change its prices at any time but will provide you reasonable notice of any such changes by posting the new prices on the Site and by sending you email notification.",ch2
Either party may terminate the Services at any time by notifying the other party by any means.,ter2
"9GAG, Inc may also terminate or suspend any and all Services and access to the Site immediately, without prior notice or liability, if Subscriber breaches any of the terms or conditions of this Agreement.",ter2
"Please review our Privacy Policy, which governs the use of personal information on the Site and to which Subscriber agrees to be bound as a user of the Site.",unc
"9GAG, Inc shall not be liable for any failure to perform its obligations hereunder where such failure results from any cause beyond 9GAG, Inc’s reasonable control, including, without limitation, mechanical, electronic or communications failure or degradation.",ltd2
A physical or electronic signature of a person authorized to act on behalf of the owner of the work(s) that has/have been allegedly infringed;,unc
"A statement that you have a good faith belief that the use of the material in the manner complained of is not authorized by the copyright owner, its agent, or the law; and",unc
"A statement that the information in the notification is accurate, and under penalty of perjury, that you are authorized to act on behalf of the owner of an exclusive right that is allegedly infringed.",unc
You should consult with your own lawyer and/or see 17 U.S.C. § 512 to confirm your obligations to provide a valid notice of claimed infringement.,unc
Identification of the material that has been removed or to which access has been disabled and the location at which the material appeared before it was removed or access to it was disabled;,unc
A statement under penalty of perjury that the subscriber has a good faith belief that the material was removed or disabled as a result of mistake or misidentification of the material to be removed or disabled; and,unc
"The subscriber’s name, address, and telephone number, and a statement that the subscriber consents to the jurisdiction of Federal District Court for the judicial district in which the address is located, or if the subscriber’s address is outside of the United States, for any judicial district in which 9GAG may be found, and that the subscriber will accept service of process from the person who provided a Notification of Claimed Infringement as set forth above or an agent of such person.",unc
A party submitting a Counter Notification should consult a lawyer or see 17 U.S.C. § 512 to confirm the party’s obligations to provide a valid counter notification under the Copyright Act.,unc
"Upon receipt of a Counter Notification, 9GAG shall promptly provide the party submitting a Notification of Claimed Infringement with a copy of the Counter Notification, and 9GAG will replace the removed material or cease disabling access to it in not less than 10, nor more than fourteen (14), business days following receipt of the Counter Notice, unless 9GAG’s Designated Agent first receives notice from the person who submitted the Notification of Claimed Infringement that such person has filed an action seeking a court order to restrain the subscriber from engaging in infringing activity relating to the material on 9GAG’s system or network.",unc
"[a]ny person who knowingly materially misrepresents under [Section 512 of the Copyright Act (17 U.S.C. § 512)] (1) that material or activity is infringing, or (2) that material or activity was removed or disabled by mistake or misidentification, shall be liable for any damages, including costs and attorneys’ fees, incurred by the alleged infringer, by any copyright owner or copyright owner’s authorized licensee, or by a service provider, who is injured by such misrepresentation, as the result of [9GAG] relying upon such misrepresentation in removing or disabling access to the material or activity claimed to be infringing, or in replacing the removed material or ceasing to disable access to it.",unc
"For the avoidance of doubt, only notices submitted under the Digital Millennium Copyright Act and the procedures set forth in this Agreement should be sent to the Designated Agent at copyright@9GAG.com or to the postal address identified above. Any other comments, compliments, complaints or suggestions about 9GAG, the operation of the Services or any other matter should be sent to support@9gag.com.",unc
"Academia, Inc. (""Academia.edu"" or ""we"") offers a social networking service which enables its users, including graduate students and academics, to create academic profile pages and to connect with other users, including graduate students and academics, around the world with the same research interests (the “Services”) through our website, accessible at academia.edu (the “Site”). Please read carefully the following terms and conditions (“Terms”) and our Privacy Policy, which may be found at academia.edu/privacy and which is incorporated by reference into these Terms. These Terms govern your access to and use of the Site, Services and Collective Content (defined below), and constitute a binding legal agreement between you and Academia.edu.",unc
"“Content” means text, graphics, images, music, software, audio, video, information or other works of authorship.",unc
"“Academia.edu Content” means Content that Academia.edu makes available through the Site or Services, including any Content licensed from a third party, but excluding Member Content.",unc
"Certain areas of the Site (and your access to or use of certain Services or Collective Content) may have different terms and conditions posted or may require you to agree with and accept additional terms and conditions. If there is a conflict between these Terms and terms and conditions posted for a specific area of the Site, Services or Collective Content, the latter terms and conditions will take precedence with respect to your use of or access to that area of the Site, Services or Collective Content, as applicable.",unc
"YOU ACKNOWLEDGE AND AGREE THAT, BY ACCESSING OR USING THE SITE OR SERVICES OR BY DOWNLOADING OR POSTING ANY CONTENT FROM OR ON THE SITE OR THROUGH THE SERVICES, YOU ARE INDICATING THAT YOU HAVE READ, AND THAT YOU UNDERSTAND AND AGREE TO BE BOUND BY, THESE TERMS, WHETHER OR NOT YOU HAVE REGISTERED ON OR THROUGH THE SITE.",use2
In order to access certain features of the Site and Services and to post any Member Content on the Site or through the Services you must register to create an account (“Account”) and become a Member.,unc
See Academia.edu’s Privacy Policy at academia.edu/privacy for information and notices concerning Academia.edu’s collection and use of your personal information.,unc
Academia.edu may offer you the ability to access certain features through purchase of a recurring subscription (“Subscription”).,unc
"When you purchase a Subscription or make any other paid feature related purchase via the Services (each, a “Transaction”), you expressly authorize us (or our third party payment processor, e.g. Stripe) to charge you for such Transaction. We may ask you to supply additional information relevant to your Transaction, including, without limitation, your credit card number, the expiration date of your credit card, your billing address and additional information to verify your identity before completing your Transaction (such information, “Payment Information”). You represent and warrant that you have the legal right to use all payment method(s) represented by any such Payment Information. When you initiate a Transaction, you authorize us to store and continue billing you using your Payment Information and to provide your Payment Information to our third party payment processors as needed to complete your Transactions. We may also periodically authorize your payment method in anticipation of applicable fees or related charges. Further, as part of our order processing procedures, we may screen orders for fraud or other undesirable activity. If we feel an order could be fraudulent, unauthorized, or illegal, we reserve the right to refuse to process that order. Your Subscription continues until cancelled by you or we terminate your access to or use of the Services or the Subscription in accordance with these Terms.",unc
"If you elect to purchase an annual or monthly Subscription, you will be charged the annual or monthly Subscription fee (“Subscription Fee”) plus any applicable taxes, at the beginning of your Subscription and each year or month thereafter, respectively, at the then-current rate. If you elect to purchase an annual Subscription, we (or our third party payment processor) will automatically charge you on the anniversary of the commencement of your Subscription using the Payment Information you have provided. If you elect to purchase a monthly Subscription, we (or our third party payment processor) will automatically charge you each month, on the calendar day corresponding to the commencement of your Subscription, using the Payment Information you have provided. In the event your Subscription began on a day not contained in a given month, your payment method will be charged on a day in the applicable month or such other day as we deem appropriate. For example, if you started your Subscription on January 31st, your next payment date is likely to be February 28th, and your payment method would be billed on that date.",unc
"By agreeing to these Terms and electing to purchase a Subscription, you acknowledge that your Subscription has recurring payment features and you accept responsibility for all recurring payment obligations prior to cancellation of your Subscription by you or Academia.edu.",unc
"Free Trials. We may offer Subscriptions on a free trial basis (“Free Trial”) for a specified period of time. If we offer you a Free Trial, the specific terms of your Free Trial will be provided at signup and/or in the promotional materials describing the Free Trial and your use of the Free Trial is subject to your compliance with such specific terms. Free Trials may not be combined with any other offer. Except as may otherwise be provided in the specific terms for the Free Trial offer, Free Trials are only available to users who have not previously subscribed to the service in connection with which the Free Trial is being offered. When you agree to a Free Trial, you are also agreeing to sign up for a Subscription as described above and, consequently, unless you cancel your Subscription prior to the end of your Free Trial, we (or our third party payment processor) will begin charging your payment method on a recurring basis for the Subscription Fee (plus any applicable taxes) until you cancel your Subscription. Instructions for cancelling your Subscription are stated below in the “Cancelling Subscriptions” section. ",unc
"Please be aware that any fee or subscription plan is exclusive of all taxes. If at any point any applicable sales use, VAT, GST, excise, withholding or similar taxes or levies, whether domestic or foreign, exist, the Member is liable for them.",unc
"The Site, Services and Collective Content are protected by copyright, trademark, and other laws of the United States and foreign countries. You acknowledge and agree that the Site, Services and Collective Content, including all associated intellectual property rights, are the exclusive property of Academia.edu and its licensors. You will not remove, alter or obscure any copyright, trademark, service mark or other proprietary rights notices incorporated in or accompanying the Site, Services or Collective Content.",unc
"You will not use, copy, adapt, modify, prepare derivative works based upon, distribute, license, sell, transfer, publicly display, publicly perform, transmit, stream, broadcast or otherwise exploit the Site, Services or Collective Content, or any related information to which you may have access; except as expressly permitted in these Terms. No licenses or rights are granted to you by implication or otherwise under any intellectual property rights owned or controlled by Academia.edu or its licensors, except for the licenses and rights expressly granted in these Terms.",unc
"You acknowledge and agree that you are solely responsible for all Member Content that you make available through the Site or Services. Accordingly, you represent and warrant that: (i) you either are the sole and exclusive owner of all Member Content that you make available through the Site or Services or you have all rights, licenses, consents and releases that are necessary to grant to Academia.edu the rights in such Member Content, as contemplated under these Terms; and (ii) neither the Member Content nor your posting, uploading, publication, submission or transmittal of the Member Content or Academia.edu’s use of the Member Content (or any portion thereof) on, through or by means of the Site or Services will infringe, misappropriate or violate a third party’s patent, copyright, trademark, trade secret, moral rights or other intellectual property rights, or rights of publicity or privacy, or result in the violation of any applicable law or regulation.",unc
"Post, upload, publish, submit or transmit any Content that: (i) infringes, misappropriates or violates a third party’s patent, copyright, trademark, trade secret, moral rights or other intellectual property rights, or rights of publicity or privacy; (ii) violates, or encourages any conduct that would violate, any applicable law or regulation or would give rise to civil liability; (iii) is fraudulent, knowingly false, misleading or deceptive; (iv) is defamatory, obscene, pornographic, vulgar or offensive; (v) promotes discrimination, bigotry, racism, hatred, harassment or harm against any individual or group; (vi) is violent or threatening or promotes violence or actions that are threatening to any person or entity; or (vii) promotes illegal or harmful activities or substances;",unc
Disclose information that you do not have the right to disclose (such as confidential information of others (including your employer);,unc
"Use, display, mirror or frame the Site, or any individual element within the Site or Services, Academia.edu’s name, any Academia.edu trademark, logo or other proprietary information, or the layout and design of any page or form contained on a page, without Academia.edu’s express written consent;",unc
"Access, tamper with, or use non-public areas of the Site, Academia.edu’s computer systems, or the technical delivery systems of Academia.edu’s providers;",unc
"Attempt to probe, scan, or test the vulnerability of any Academia.edu system or network or breach any security or authentication measures;",unc
"Avoid, bypass, remove, deactivate, impair, descramble or otherwise circumvent any technological measure implemented by Academia.edu or any of Academia.edu’s providers or any other third party (including another user) to protect the Site, Services or Collective Content;",unc
"Scrape or copy profiles and information of others through any means (including crawlers, browser plugins and add-ons, and any other technology or manual work);",unc
"Sell, sponsor, or otherwise monetize any feature of the Services, without Academia.edu's consent;",unc
"Attempt to access or search the Site, Services or Collective Content or download Collective Content from the Site or Services through the use of any engine, software, tool, agent, device or mechanism (including spiders, robots, crawlers, data mining tools or the like) other than the software and/or search agents provided by Academia.edu or other generally available third party web browsers;",unc
"Use bots or other automated methods to access the Services, add or download contacts or profile information;",unc
"Send any unsolicited or unauthorized advertising, promotional materials, email, junk mail, spam, chain letters or other form of solicitation;",unc
"Use any meta tags or other hidden text or metadata utilizing a Academia.edu trademark, logo URL or product name without Academia.edu’s express written consent;",unc
"Use the Site, Services or Collective Content for any commercial purpose or the benefit of any third party or in any manner not permitted by these Terms;",unc
"Forge any TCP/IP packet header or any part of the header information in any email or newsgroup posting, or in any way use the Site, Services or Collective Content to send altered, deceptive or false source-identifying information;",unc
"Interfere with, or attempt to interfere with, the access of any user, host or network, including, without limitation, sending a virus, overloading, flooding, spamming, or mail-bombing the Site or Services;",unc
Collect or store any personally identifiable information from the Site or Services from other users of the Site or Services without their express permission;,unc
Encourage or enable any other individual to do any of the foregoing.,unc
Academia.edu respects copyright law and expects its users to do the same. ,unc
"If you breach any of these Terms, Academia.edu will have the right to suspend or disable your Account or terminate these Terms, at its sole discretion and without prior notice to you.",ter3
"Academia.edu reserves the right to revoke your access to and use of the Site, Services and Collective Content at any time, with or without cause.",ter3
"THE SITE, SERVICES AND COLLECTIVE CONTENT ARE PROVIDED “AS IS”, WITHOUT WARRANTY OF ANY KIND, EITHER EXPRESS OR IMPLIED. WITHOUT LIMITING THE FOREGOING, ACADEMIA.EDU EXPLICITLY DISCLAIMS ANY WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, QUIET ENJOYMENT OR NON-INFRINGEMENT, AND ANY WARRANTIES ARISING OUT OF COURSE OF DEALING OR USAGE OF TRADE. ACADEMIA.EDU MAKES NO WARRANTY THAT THE SITE, SERVICES OR COLLECTIVE CONTENT WILL MEET YOUR REQUIREMENTS OR BE AVAILABLE ON AN UNINTERRUPTED, SECURE, OR ERROR-FREE BASIS. ACADEMIA.EDU MAKES NO WARRANTY REGARDING THE QUALITY OF ANY PRODUCTS, SERVICES OR COLLECTIVE CONTENT PURCHASED OR OBTAINED THROUGH THE SITE OR SERVICES OR THE ACCURACY, TIMELINESS, TRUTHFULNESS, COMPLETENESS OR RELIABILITY OF ANY CONTENT OBTAINED THROUGH THE SITE OR SERVICES.",unc
"NO ADVICE OR INFORMATION, WHETHER ORAL OR WRITTEN, OBTAINED FROM ACADEMIA.EDU OR THROUGH THE SITE, SERVICES OR COLLECTIVE CONTENT, WILL CREATE ANY WARRANTY NOT EXPRESSLY MADE HEREIN.",unc
"You agree to defend, indemnify, and hold Academia.edu, its officers, directors, employees and agents, harmless from and against any claims, liabilities, damages, losses, and expenses, including, without limitation, reasonable legal and accounting fees, arising out of or in any way connected with your access to or use of the Site, Services or Collective Content, or your violation of these Terms.",unc
"YOU ACKNOWLEDGE AND AGREE THAT, TO THE MAXIMUM EXTENT PERMITTED BY LAW, THE ENTIRE RISK ARISING OUT OF YOUR ACCESS TO AND USE OF THE SITE, SERVICES AND COLLECTIVE CONTENT REMAINS WITH YOU. ",unc
These Terms and any action related thereto will be governed by the laws of the State of California without regard to its conflict of laws provisions.,law2
"Any notices or other communications permitted or required hereunder, including those regarding modifications to these Terms, will be in writing and given by Academia.edu (i) via email (in each case to the address that you provide); or (ii) by posting to the Site. For notices made by e-mail, the date of receipt will be deemed the date on which such notice is transmitted.",unc
"You and Academia.edu agree that any dispute, claim or controversy arising out of or relating to these Terms or the breach, termination, enforcement, interpretation or validity thereof or the use of the Site or Services (collectively, “Disputes”) will be settled by binding arbitration, except that each party retains the right: (i) to bring an individual action in small claims court and (ii) to seek injunctive or other equitable relief in a court of competent jurisdiction to prevent the actual or threatened infringement, misappropriation or violation of a party’s copyrights, trademarks, trade secrets, patents or other intellectual property rights (the action described in the foregoing clause (ii), an “IP Protection Action”).",a2
"The exclusive jurisdiction and venue of any IP Protection Action or, if you timely provide Academia.edu with an Arbitration Opt-out Notice, any Dispute other than an individual action brought in small claims court, will be the state and federal courts located in the Northern District of California and each of the parties hereto waives any objection to jurisdiction and venue in such courts.",j3
"Arbitration Rules and Governing Law. The arbitration will be administered by the American Arbitration Association (“AAA”) in accordance with the Commercial Arbitration Rules and the Supplementary Procedures for Consumer Related Disputes (the “AAA Rules”) then in effect, except as modified by this “Dispute Resolution” section. (The AAA Rules are available at www.adr.org/arb_med or by calling the AAA at 1-800-778-7879.) The Federal Arbitration Act will govern the interpretation and enforcement of this Section.",unc
"Arbitration Process. A party who desires to initiate arbitration must provide the other party with a written Demand for Arbitration as specified in the AAA Rules. (The AAA provides a form Demand for Arbitration at http://www.adr.org/aaa/ShowPDF?doc=ADRSTG_004175 and a separate form for California residents at http://www.adr.org/aaa/ShowPDF?doc=ADRSTG_015822.) The arbitrator will be either a retired judge or an attorney licensed to practice law and will be selected by the parties from the AAA’s roster of arbitrators. If the parties are unable to agree upon an arbitrator within seven (7) days of delivery of the Demand for Arbitration, then the AAA will appoint the arbitrator in accordance with the AAA Rules.",unc
"Arbitrator’s Decision. The arbitrator will render an award within the time frame specified in the AAA Rules. The arbitrator’s decision will include the essential findings and conclusions upon which the arbitrator based the award. Judgment on the arbitration award may be entered in any court having jurisdiction thereof. The arbitrator’s award damages must be consistent with the terms of the “Limitation of Liability” section above as to the types and the amounts of damages for which a party may be held liable. The arbitrator may award declaratory or injunctive relief only in favor of the claimant and only to the extent necessary to provide relief warranted by the claimant’s individual claim. If you prevail in arbitration you will be entitled to an award of attorneys’ fees and expenses, to the extent provided under applicable law. Academia.edu will not seek, and hereby waives all rights it may have under applicable law to recover, attorneys’ fees and expenses if it prevails in arbitration.",unc
"Changes. Notwithstanding the provisions of the “Modification” section above, if Academia.edu changes this “Dispute Resolution” section after the date you first accepted these Terms (or accepted any subsequent changes to these Terms), you may reject any such change by sending us written notice (including by email to feedback@academia.edu) within 30 days of the date such change became effective, as indicated in the “Last Updated Date” above or in the date of Academia.edu’s email to you notifying you of such change. By rejecting any change, you are agreeing that you will arbitrate any Dispute between you and Academia.edu in accordance with the provisions of this “Dispute Resolution” section as of the date you first accepted these Terms (or accepted any subsequent changes to these Terms).",unc
"We’ve recently updated our: (1) Terms of Service, (2) Payments Terms of Service, and (3) Privacy Policy (collectively, “Terms”). If you signed up for an account prior to June 19, 2017, we’ll ask you to agree to the new Terms when you use Airbnb on or after September 01, 2017; until September 01, 2017 the prior Terms of Service, Payments Terms of Service, and Privacy Policy will apply to you. Please read these Terms carefully. If you signed up for an account on or after June 19, 2017, the updated Terms apply to you. Learn more about what’s changing.",unc
"Please note: Section 19 of these Terms of Service contains an arbitration clause and class action waiver that applies to all Airbnb Members. If you reside in the United States, this provision applies to all disputes with Airbnb. If you reside outside of the United States, this provision applies to any action you bring against Airbnb in the United States. It affects how disputes with Airbnb are resolved. ",unc
"These Terms of Service (""Terms"") constitute a legally binding agreement (""Agreement"") between you and Airbnb (as defined below) governing your access to and use of the Airbnb website, including any subdomains thereof, and any other websites through which Airbnb makes the Airbnb Services available (collectively, ""Site""), our mobile, tablet and other smart device applications, and application program interfaces (collectively, ""Application"") and all associated services (collectively, ""Airbnb Services""). The Site, Application and Airbnb Services together are hereinafter collectively referred to as the “Airbnb Platform”. Our Host Guarantee Terms, Guest Refund Policy, Nondiscrimination Policy and other Policies applicable to your use of the Airbnb Platform are incorporated by reference into this Agreement.",unc
"When these Terms mention “Airbnb,” “we,” “us,” or “our,” it refers to the Airbnb company you are contracting with.",unc
"If you reside in the United States, you are contracting with Airbnb, Inc., 888 Brannan Street, 4th Floor, San Francisco, CA 94103, United States.",unc
"If you reside outside of the United States and the People’s Republic of China (which for purposes of these Terms does not include Hong Kong, Macau and Taiwan) (hereinafter “China”), you are contracting with Airbnb Ireland UC (“Airbnb Ireland”), The Watermarque Building, South Lotts Road, Ringsend, Dublin 4, Ireland.",unc
"If you change your place of residence, the Airbnb company you contract with will be determined by your new place of residence as specified above, from the date on which your place of residence changes.",unc
Our collection and use of personal information in connection with your access to and use of the Airbnb Platform is described in our Privacy Policy.,unc
"Any and all payment processing services through or in connection with your use of the Airbnb Platform (""Payment Services"") are provided to you by one or more Airbnb Payments entities (individually and collectively, as appropriate, ""Airbnb Payments"") as set out in the Payments Terms of Service (""Payments Terms"").",unc
"The Airbnb Platform is an online marketplace that enables registered users (“Members”) and certain third parties who offer services (Members and third parties who offer services are “Hosts” and the services they offer are “Host Services”) to publish such Host Services on the Airbnb Platform (“Listings”) and to communicate and transact directly with Members that are seeking to book such Host Services (Members using Host Services are “Guests”). Host Services may include the offering of vacation or other properties for use (""Accommodations""), single or multi-day activities in various categories (“Experiences”), access to unique events and locations (“Events”), and a variety of other travel and non-travel related services.",unc
"As the provider of the Airbnb Platform, Airbnb does not own, create, sell, resell, provide, control, manage, offer, deliver, or supply any Listings or Host Services. Hosts alone are responsible for their Listings and Host Services. When Members make or accept a booking, they are entering into a contract directly with each other. Airbnb is not and does not become a party to or other participant in any contractual relationship between Members, nor is Airbnb a real estate broker or insurer. Airbnb is not acting as an agent in any capacity for any Member, except as specified in the Payments Terms.",unc
"If you choose to use the Airbnb Platform as a Host or Co-Host (as defined below), your relationship with Airbnb is limited to being an independent, third-party contractor, and not an employee, agent, joint venturer or partner of Airbnb for any reason, and you act exclusively on your own behalf and for your own benefit, and not on behalf, or for the benefit, of Airbnb.",unc
"To promote the Airbnb Platform and to increase the exposure of Listings to potential Guests, Listings and other Member Content may be displayed on other websites, in applications, within emails, and in online and offline advertisements. To assist Members who speak different languages, Listings and other Member Content may be translated, in whole or in part, into other languages. Airbnb cannot guarantee the accuracy or quality of such translations and Members are responsible for reviewing and verifying the accuracy of such translations. The Airbnb Platform may contain translations powered by Google. Google disclaims all warranties related to the translations, express or implied, including any warranties of accuracy, reliability, and any implied warranties for merchantability, fitness for a particular purpose and noninfringement.",unc
You must be at least 18 years old and able to enter into legally binding contracts to access and use the Airbnb Platform or register an Airbnb Account. By accessing or using the Airbnb Platform you represent and warrant that you are 18 or older and have the legal capacity and authority to enter into a contract.,unc
"You will comply with any applicable export control laws in your local jurisdiction. You also represent and warrant that (i) neither you nor your Host Service(s) are located or take place in a country that is subject to a U.S. Government embargo, or that has been designated by the U.S. Government as a ""terrorist supporting"" country, and (ii) you are not listed on any U.S. Government list of prohibited or restricted parties.",unc
"Airbnb may make the access to and use of the Airbnb Platform, or certain areas or features of the Airbnb Platform, subject to certain conditions or requirements, such as completing a verification process, meeting specific quality or eligibility criteria, meeting Ratings or Reviews thresholds, or booking and cancellation history.",unc
"User verification on the Internet is difficult and we do not assume any responsibility for the confirmation of any Member’s identity. Notwithstanding the above, for transparency and fraud prevention purposes, and as permitted by applicable laws, we may, but have no obligation to (i) ask Members to provide a form of government identification or other information or undertake additional checks designed to help verify the identities or backgrounds of Members, (ii) screen Members against third party databases or other sources and request reports from service providers, and (iii) where we have sufficient information to identify a Member, obtain reports from public records of criminal convictions or sex offender registrations or an equivalent version of background or registered sex offender checks in your local jurisdiction (if available).",unc
"If you access or download the Application from the Apple App Store, you agree to Apple’s Licensed Application End User License Agreement. Some areas of the Airbnb Platform implement Google Maps/Earth mapping services, including Google Maps API(s). Your use of Google Maps/Earth is subject to the Google Maps/Google Earth Additional Terms of Service.",unc
Airbnb reserves the right to modify these Terms at any time in accordance with this provision.,ch2
"If you do not terminate your Agreement before the date the revised Terms become effective, your continued access to or use of the Airbnb Platform will constitute acceptance of the revised Terms.",use2
"You must register an account (""Airbnb Account"") to access and use certain features of the Airbnb Platform, such as publishing or booking a Listing. If you are registering an Airbnb Account for a company or other legal entity, you represent and warrant that you have the authority to legally bind that entity and grant us all permissions and licenses provided in these Terms.",unc
