category,content,fairness,label,line_number
ltd,"By using this Site, you acknowledge that 9GAG, Inc is not responsible or liable for any harm resulting from (1) use of the Site; (2) downloading information contained on the Site including but not limited to downloads of content posted by subscribers; (3) unauthorized disclosure of images, information or data that results from the upload, download or storage of content posted by subscribers; (4) the temporary or permanent inability to access or retrieve any Subscriber Content from the Site, including, without limitation, harm caused by viruses, worms, trojan horses, or any similar contamination or destructive program.",2,ltd2,
unc,"Some places do not allow limitations on how long an implied warranty lasts, so the above limitations may not apply to Subscriber.",,unc,
unc,"Users of the Site may gain access from the Site to third party sites on the Internet through hypertext or other computer links on the Site. Third party sites are not within the supervision or control of 9GAG, Inc or the Site. Unless explicitly otherwise provided, neither 9GAG, Inc nor the Site make any representation or warranty whatsoever about any third party site that is linked to the Site, or endorse the products or services offered on such site. 9GAG, Inc and the Site disclaim: (a) all responsibility and liability for content on third party websites and (b) any representations or warranties as to the security of any information (including, without limitation, credit card and other personal information) You might be requested to give any third party, and You hereby irrevocably waive any claim against the Site or 9GAG, Inc with respect to such sites and third party content.",,unc,
unc,"As a condition to using Services, Subscriber will be required to register with 9GAG, Inc and select a password and 9GAG, Inc URL. Subscriber shall provide 9GAG, Inc with accurate, complete, and updated registration information, including Subscriber’s e-mail address. Failure to do so shall constitute a breach of this Agreement, which may result in immediate termination of Subscriber's account. Subscriber may not (a) select or use as a 9GAG, Inc URL a name of another person with the intent to impersonate that person; or (b) use as a 9GAG, Inc URL a name subject to any rights of a person other than Subscriber without appropriate authorization. 9GAG, Inc reserves the right to refuse registration of, or cancel a 9GAG, Inc URL in its discretion. Subscriber shall be responsible for maintaining the confidentiality of Subscriber's 9GAG, Inc password. Subscriber is solely responsible for any use of or action taken under Subscriber’s password and accepts full responsibility for all activity conducted through Subscriber’s account and agrees to and hereby releases the Site and 9GAG, Inc from any and all liability concerning such activity. Subscriber agrees to notify 9GAG, Inc immediately of any actual or suspected loss, theft, or unauthorized use of Subscriber’s account or password. The Site will take reasonably security precautions when using the internet, telephone or other means to transport date or other communications, but expressly disclaims any and all liability for the accessing of any such data communications by unauthorized persons or entities.",,unc,
unc,"Subscriber will indemnify and hold 9GAG, Inc, its directors, officers and employees, harmless, including costs and attorneys' fees, from any claim or demand made by any third party due to or arising out of Subscriber’s access to the Site, use of the Services, the violation of this Agreement by Subscriber, or the infringement by Subscriber, or any third party using the Subscriber's account, of any intellectual property or other right of any person or entity.",,unc,
ltd,"In no event shall 9GAG, Inc, its directors, officers, shareholders, employees or members be liable with respect to the Site or the Services for (a) any indirect, incidental, punitive, or consequential damages of any kind whatsoever; (b) damages for loss of use, profits, data, images, Subscriber Content or other intangibles; (c) damages for unauthorized use, non-performance of the Site, errors or omissions; or (d) damages related to downloading or posting Content.",2,ltd2,
ltd,"9GAG, Inc's and the Site's collective liability under this agreement shall be limited to three hundred U.S. Dollars.",2,ltd2,
unc,"Some of the Services require payment of fees. All fees are stated in U.S. dollars. Subscriber shall pay all applicable fees, as described on the Site in connection with such Services selected by Subscriber, and any related taxes or additional charges. All fees are non-refundable unless expressly stated otherwise on the Site. Subscriber represents to 9GAG, Inc that Subscriber is the authorized account holder or an authorized user of the chosen method of payment used to pay for the paid aspects of the Services. All fee-based Services and virtual goods are provided “AS IS” with no warranties of any kind. ",,unc,
ch,"9GAG, Inc may change its prices at any time but will provide you reasonable notice of any such changes by posting the new prices on the Site and by sending you email notification.",2,ch2,
ter,Either party may terminate the Services at any time by notifying the other party by any means.,2,ter2,
ter,"9GAG, Inc may also terminate or suspend any and all Services and access to the Site immediately, without prior notice or liability, if Subscriber breaches any of the terms or conditions of this Agreement.",2,ter2,
unc,"Please review our Privacy Policy, which governs the use of personal information on the Site and to which Subscriber agrees to be bound as a user of the Site.",,unc,
ltd,"9GAG, Inc shall not be liable for any failure to perform its obligations hereunder where such failure results from any cause beyond 9GAG, Inc’s reasonable control, including, without limitation, mechanical, electronic or communications failure or degradation.",2,ltd2,
law,This Agreement shall be governed by and construed in accordance with the laws of the state of Delaware without regard to the conflict of laws provisions thereof.,2,law2,
unc,14. Notice and Procedure for Making Claims of Copyright or Other Intellectual Property Infringements,,unc,
unc,"9GAG respects the intellectual property of others and takes the protection of copyrights and all other intellectual property very seriously, and we ask our users to do the same. Infringing activity will not be tolerated on or through the Services.",,unc,
cr,"9GAG’s intellectual property policy is to (a) remove material that 9GAG believes in good faith, upon notice from an intellectual property owner or their agent, is infringing the intellectual property of a third party by being made available through the Services, and (b) remove any Subscriber Content posted to the Services by “repeat infringers.”",2,cr2,
ter,"9GAG has discretion, however, to terminate the account of any user after receipt of a single notification of claimed infringement or upon 9GAG’s own determination.",2,ter2,
unc,"If you believe that any content made available on or through the Services has been used or exploited in a manner that infringes an intellectual property right you own or control, then please promptly send a “Notification of Claimed Infringement” containing the following information to the Designated Agent identified below. Your communication must include substantially the following:",,unc,
unc,A physical or electronic signature of a person authorized to act on behalf of the owner of the work(s) that has/have been allegedly infringed;,,unc,
unc,"Identification of works or materials being infringed, or, if multiple works are covered by a single notification, a representative list of such works;",,unc,
unc,"Identification of the specific material that is claimed to be infringing or to be the subject of infringing activity and that is to be removed or access to which is to be disabled, and information reasonably sufficient to permit 9GAG to locate the material;",,unc,
unc,"Information reasonably sufficient to permit 9GAG to contact you, such as an address, telephone number, and, if available, an electronic mail address at which you may be contacted;",,unc,
unc,"A statement that you have a good faith belief that the use of the material in the manner complained of is not authorized by the copyright owner, its agent, or the law; and",,unc,
unc,"A statement that the information in the notification is accurate, and under penalty of perjury, that you are authorized to act on behalf of the owner of an exclusive right that is allegedly infringed.",,unc,
unc,You should consult with your own lawyer and/or see 17 U.S.C. § 512 to confirm your obligations to provide a valid notice of claimed infringement.,,unc,
unc,9GAG’s Designated Agent for notices of claimed infringement can be contacted at:,,unc,
unc,"If you receive a notification from 9GAG that material made available by you on or through the Services has been the subject of a Notification of Claimed Infringement, then you will have the right to provide 9GAG with what is called a “Counter Notification.” To be effective, a Counter Notification must be in writing, provided to 9GAG’s Designated Agent through one of the methods identified immediately above, and include substantially the following information:",,unc,
unc,Identification of the material that has been removed or to which access has been disabled and the location at which the material appeared before it was removed or access to it was disabled;,,unc,
unc,A statement under penalty of perjury that the subscriber has a good faith belief that the material was removed or disabled as a result of mistake or misidentification of the material to be removed or disabled; and,,unc,
unc,"The subscriber’s name, address, and telephone number, and a statement that the subscriber consents to the jurisdiction of Federal District Court for the judicial district in which the address is located, or if the subscriber’s address is outside of the United States, for any judicial district in which 9GAG may be found, and that the subscriber will accept service of process from the person who provided a Notification of Claimed Infringement as set forth above or an agent of such person.",,unc,
unc,A party submitting a Counter Notification should consult a lawyer or see 17 U.S.C. § 512 to confirm the party’s obligations to provide a valid counter notification under the Copyright Act.,,unc,
unc,"Upon receipt of a Counter Notification, 9GAG shall promptly provide the party submitting a Notification of Claimed Infringement with a copy of the Counter Notification, and 9GAG will replace the removed material or cease disabling access to it in not less than 10, nor more than fourteen (14), business days following receipt of the Counter Notice, unless 9GAG’s Designated Agent first receives notice from the person who submitted the Notification of Claimed Infringement that such person has filed an action seeking a court order to restrain the subscriber from engaging in infringing activity relating to the material on 9GAG’s system or network.",,unc,
unc,"[a]ny person who knowingly materially misrepresents under [Section 512 of the Copyright Act (17 U.S.C. § 512)] (1) that material or activity is infringing, or (2) that material or activity was removed or disabled by mistake or misidentification, shall be liable for any damages, including costs and attorneys’ fees, incurred by the alleged infringer, by any copyright owner or copyright owner’s authorized licensee, or by a service provider, who is injured by such misrepresentation, as the result of [9GAG] relying upon such misrepresentation in removing or disabling access to the material or activity claimed to be infringing, or in replacing the removed material or ceasing to disable access to it.",,unc,
unc,9GAG reserves the right to seek damages from any party that submits a Notification of Claimed Infringement or Counter Notification in violation of the law.,,unc,
unc,"For the avoidance of doubt, only notices submitted under the Digital Millennium Copyright Act and the procedures set forth in this Agreement should be sent to the Designated Agent at copyright@9GAG.com or to the postal address identified above. Any other comments, compliments, complaints or suggestions about 9GAG, the operation of the Services or any other matter should be sent to support@9gag.com.",,unc,
unc,"Academia, Inc. (""Academia.edu"" or ""we"") offers a social networking service which enables its users, including graduate students and academics, to create academic profile pages and to connect with other users, including graduate students and academics, around the world with the same research interests (the “Services”) through our website, accessible at academia.edu (the “Site”). Please read carefully the following terms and conditions (“Terms”) and our Privacy Policy, which may be found at academia.edu/privacy and which is incorporated by reference into these Terms. These Terms govern your access to and use of the Site, Services and Collective Content (defined below), and constitute a binding legal agreement between you and Academia.edu.",,unc,
unc,ARBITRATION NOTICE:,,unc,
unc,"“Content” means text, graphics, images, music, software, audio, video, information or other works of authorship.",,unc,
unc,"“Academia.edu Content” means Content that Academia.edu makes available through the Site or Services, including any Content licensed from a third party, but excluding Member Content.",,unc,
unc,"“Member” means a person who completes Academia.edu’s account registration process, as described under the “Account Registration” section below.",,unc,
unc,"“Member Content” means Content that a Member posts, uploads, publishes, submits or transmits to be made available through the Site or Services.",,unc,
unc,"Certain areas of the Site (and your access to or use of certain Services or Collective Content) may have different terms and conditions posted or may require you to agree with and accept additional terms and conditions. If there is a conflict between these Terms and terms and conditions posted for a specific area of the Site, Services or Collective Content, the latter terms and conditions will take precedence with respect to your use of or access to that area of the Site, Services or Collective Content, as applicable.",,unc,
use,"YOU ACKNOWLEDGE AND AGREE THAT, BY ACCESSING OR USING THE SITE OR SERVICES OR BY DOWNLOADING OR POSTING ANY CONTENT FROM OR ON THE SITE OR THROUGH THE SERVICES, YOU ARE INDICATING THAT YOU HAVE READ, AND THAT YOU UNDERSTAND AND AGREE TO BE BOUND BY, THESE TERMS, WHETHER OR NOT YOU HAVE REGISTERED ON OR THROUGH THE SITE.",2,use2,
ch,"Academia.edu reserves the right, at its sole discretion, to modify the Site, Services and these Terms, at any time and without prior notice.",2,ch2,
use,"By continuing to access or use the Site or Services after we have posted a modification on the Site or have provided you with notice of a modification, you are indicating that you agree to be bound by the modified Terms.",2,use2,
unc,The Site and Services are intended solely for persons who are 13 years of age or older. Any access to or use of the Site or Services by anyone under the age of 13 is expressly prohibited. By accessing or using the Site or Services you represent and warrant that you are 13 years of age or older.,,unc,
unc,In order to access certain features of the Site and Services and to post any Member Content on the Site or through the Services you must register to create an account (“Account”) and become a Member.,,unc,
unc,"You may register directly via the Site or by logging into your account with certain third party social media or social networking sites (“SNS”) (including, but not limited to, Facebook) via the Site, as described herein. If you decide to register through an SNS, we will extract the personal information you have provided to the SNS (such as your “real” name, email address and other information you make publicly available via the SNS) from the account you have with the applicable SNS and use that information to create your Account. The specific information that we extract may depend on the privacy settings you have with the SNS. You hereby consent to our access to and collection of such personal information about you. During the registration process, you will be required to provide certain information and you will establish a username and a password.",,unc,
unc,"You agree to provide accurate, current and complete information during the registration process and to update such information to keep it accurate, current and complete. ",,unc,
unc,See Academia.edu’s Privacy Policy at academia.edu/privacy for information and notices concerning Academia.edu’s collection and use of your personal information.,,unc,
unc,Academia.edu may offer you the ability to access certain features through purchase of a recurring subscription (“Subscription”).,,unc,
unc,"When you purchase a Subscription or make any other paid feature related purchase via the Services (each, a “Transaction”), you expressly authorize us (or our third party payment processor, e.g. Stripe) to charge you for such Transaction. We may ask you to supply additional information relevant to your Transaction, including, without limitation, your credit card number, the expiration date of your credit card, your billing address and additional information to verify your identity before completing your Transaction (such information, “Payment Information”). You represent and warrant that you have the legal right to use all payment method(s) represented by any such Payment Information. When you initiate a Transaction, you authorize us to store and continue billing you using your Payment Information and to provide your Payment Information to our third party payment processors as needed to complete your Transactions. We may also periodically authorize your payment method in anticipation of applicable fees or related charges. Further, as part of our order processing procedures, we may screen orders for fraud or other undesirable activity. If we feel an order could be fraudulent, unauthorized, or illegal, we reserve the right to refuse to process that order. Your Subscription continues until cancelled by you or we terminate your access to or use of the Services or the Subscription in accordance with these Terms.",,unc,
unc,"If you elect to purchase an annual or monthly Subscription, you will be charged the annual or monthly Subscription fee (“Subscription Fee”) plus any applicable taxes, at the beginning of your Subscription and each year or month thereafter, respectively, at the then-current rate. If you elect to purchase an annual Subscription, we (or our third party payment processor) will automatically charge you on the anniversary of the commencement of your Subscription using the Payment Information you have provided. If you elect to purchase a monthly Subscription, we (or our third party payment processor) will automatically charge you each month, on the calendar day corresponding to the commencement of your Subscription, using the Payment Information you have provided. In the event your Subscription began on a day not contained in a given month, your payment method will be charged on a day in the applicable month or such other day as we deem appropriate. For example, if you started your Subscription on January 31st, your next payment date is likely to be February 28th, and your payment method would be billed on that date.",,unc,
unc,"By agreeing to these Terms and electing to purchase a Subscription, you acknowledge that your Subscription has recurring payment features and you accept responsibility for all recurring payment obligations prior to cancellation of your Subscription by you or Academia.edu.",,unc,
unc,"Free Trials. We may offer Subscriptions on a free trial basis (“Free Trial”) for a specified period of time. If we offer you a Free Trial, the specific terms of your Free Trial will be provided at signup and/or in the promotional materials describing the Free Trial and your use of the Free Trial is subject to your compliance with such specific terms. Free Trials may not be combined with any other offer. Except as may otherwise be provided in the specific terms for the Free Trial offer, Free Trials are only available to users who have not previously subscribed to the service in connection with which the Free Trial is being offered. When you agree to a Free Trial, you are also agreeing to sign up for a Subscription as described above and, consequently, unless you cancel your Subscription prior to the end of your Free Trial, we (or our third party payment processor) will begin charging your payment method on a recurring basis for the Subscription Fee (plus any applicable taxes) until you cancel your Subscription. Instructions for cancelling your Subscription are stated below in the “Cancelling Subscriptions” section. ",,unc,
unc,"You may cancel your Subscription at any time. PLEASE NOTE, HOWEVER, THAT, EXCEPT FOR THE THIRTY (30) DAY PERIOD FOLLOWING THE START OF YOUR SUBSCRIPTION, ALL SALES ARE FINAL. AFTER THE FIRST THIRTY (30) DAY PERIOD FOLLOWING THE START OF YOUR SUBSCRIPTION YOU WILL NOT RECEIVE A REFUND OF ANY PORTION OF THE SUBSCRIPTION FEE PAID FOR THE THEN CURRENT SUBSCRIPTION PERIOD AT THE TIME OF CANCELLATION. To cancel, you can either (i) email us at support@academia.edu and follow instructions, if any, we provide to you in response to your cancellation request, or (ii) initiate a cancellation through your account settings within the Services. You will be responsible for all Subscription fees incurred for the then current Subscription period. If you cancel, your cancellation will be effective immediately, but Academia.edu will allow you to access the Subscription features until the most recently paid-up Subscription period ends, and then we will terminate your access. Cancelling your Subscription won’t cancel your Account. See the Termination and Account Cancellation section below for information on canceling your Account.",,unc,
unc,"Please be aware that any fee or subscription plan is exclusive of all taxes. If at any point any applicable sales use, VAT, GST, excise, withholding or similar taxes or levies, whether domestic or foreign, exist, the Member is liable for them.",,unc,
ter,"If we believe, in our sole discretion, that any Member of Academia.edu or Academia Premium or other Academia.edu paid services is in breach of our Terms, or act outside of the letter or spirit of our Terms, we reserve the right to add limitations to your access to www.academia.edu, up to and including terminating all access to www.academia.edu.",3,ter3,
ch,"If we believe, in our sole discretion, that any Member of Academia.edu or Academia Premium or other Academia.edu paid services is in breach of our Terms, or act outside of the letter or spirit of our Terms, we reserve the right to add limitations to your access to www.academia.edu, up to and including terminating all access to www.academia.edu.",2,ch2,
unc,"The Site, Services and Collective Content are protected by copyright, trademark, and other laws of the United States and foreign countries. You acknowledge and agree that the Site, Services and Collective Content, including all associated intellectual property rights, are the exclusive property of Academia.edu and its licensors. You will not remove, alter or obscure any copyright, trademark, service mark or other proprietary rights notices incorporated in or accompanying the Site, Services or Collective Content.",,unc,
unc,Licenses Granted by Academia.edu to Academia.edu Content and Member Content,,unc,
unc,"Subject to your compliance with the terms and conditions of these Terms, Academia.edu authorizes you to download, view and print any Academia.edu Content, solely for your personal and non-commercial purposes, and to access and use the Site and Services, including to download, view and print any Member Content solely for your personal and non-commercial purposes, and subject to the restrictions set forth in these Terms. You have no right to sublicense the license rights granted in this section.",,unc,
unc,"You will not use, copy, adapt, modify, prepare derivative works based upon, distribute, license, sell, transfer, publicly display, publicly perform, transmit, stream, broadcast or otherwise exploit the Site, Services or Collective Content, or any related information to which you may have access; except as expressly permitted in these Terms. No licenses or rights are granted to you by implication or otherwise under any intellectual property rights owned or controlled by Academia.edu or its licensors, except for the licenses and rights expressly granted in these Terms.",,unc,
unc,"We may, in our sole discretion, permit Members to post, upload, publish, submit or transmit Member Content. By making any Member Content available through the Site or Services, you hereby grant to Academia.edu a worldwide, revocable, non-exclusive, transferable license to exercise any and all rights under copyright, in any medium, and to authorize others to do the same, in connection with operating and providing the Services and Content to you and to other Members, provided that the Member Content is not sold for a profit. Academia.edu does not claim any ownership rights in any Member Content and nothing in these Terms will be deemed to restrict any rights that you may have to use and exploit any Member Content.",,unc,
unc,"You acknowledge and agree that you are solely responsible for all Member Content that you make available through the Site or Services. Accordingly, you represent and warrant that: (i) you either are the sole and exclusive owner of all Member Content that you make available through the Site or Services or you have all rights, licenses, consents and releases that are necessary to grant to Academia.edu the rights in such Member Content, as contemplated under these Terms; and (ii) neither the Member Content nor your posting, uploading, publication, submission or transmittal of the Member Content or Academia.edu’s use of the Member Content (or any portion thereof) on, through or by means of the Site or Services will infringe, misappropriate or violate a third party’s patent, copyright, trademark, trade secret, moral rights or other intellectual property rights, or rights of publicity or privacy, or result in the violation of any applicable law or regulation.",,unc,
unc,"As part of the functionality of the Site and Services, you may link your Account with online accounts you may have with third party service providers (each such account, a “Third Party Account”) by either: (i) providing your Third Party Account login information to Academia.edu through the Site or Services; or (ii) allowing Academia.edu to access your Third Party Account, as is permitted under the applicable terms and conditions that govern your use of each Third Party Account. You represent that you are entitled to disclose your Third Party Account login information to Academia.edu and/or to grant Academia.edu access to your Third Party Account (including, but not limited to, for use for the purposes described herein), without breach by you of any of the terms and conditions that govern your use of the applicable Third Party Account and without obligating Academia.edu to pay any fees or making Academia.edu subject to any usage limitations imposed by such third party service providers.",,unc,
unc,"By granting Academia.edu access to any Third Party Accounts, you understand that Academia.edu will access, make available and store (if applicable) any Content that you have provided to and stored in your Third Party Account (“Third Party Account Content”) so that it is available on and through the Site and Services via your Account. Unless otherwise specified in these Terms, all Third Party Account Content, if any, will be considered to be Member Content for all purposes of these Terms. Depending on the Third Party Accounts you choose and subject to the privacy settings that you have set in such Third Party Accounts, personally identifiable information that you post to your Third Party Accounts will be available on and through your Account on the Site and Services. Please note that if a Third Party Account or associated service becomes unavailable or Academia.edu’s access to such Third Party Account is terminated by the third party service provider, then the Third Party Account Content that was available from such Third Party Account will no longer be available on and through the Site and Services. You have the ability to disable the connection between your Account and your Third Party Accounts, at any time, by accessing your Account Settings page. PLEASE NOTE THAT YOUR RELATIONSHIP WITH THE THIRD PARTY SERVICE PROVIDERS ASSOCIATED WTH YOUR THIRD PARTY ACCOUNTS IS GOVERNED SOLELY BY YOUR AGREEMENT(S) WITH SUCH THIRD PARTY SERVICE PROVIDERS. Academia.edu makes no effort to review any Third Party Account Content for any purpose, including but not limited to, for accuracy, legality or non-infringement and Academia.edu is not responsible for any Third Party Account Content.",,unc,
unc,"We welcome and encourage you to provide feedback, comments and suggestions for improvements to the Site or Services (“Feedback”). You may submit Feedback by emailing us at feedback@academia.eduor through the “Ideas” section of the Site. You acknowledge and agree that if you submit any Feedback to us, you hereby grant to us a non-exclusive, worldwide, perpetual, irrevocable, fully-paid, royalty-free, sub-licensable and transferable license under any and all intellectual property rights that you own or control to use, copy, modify, create derivative works based upon and otherwise exploit the Feedback for any purpose.",,unc,
unc,"Post, upload, publish, submit or transmit any Content that: (i) infringes, misappropriates or violates a third party’s patent, copyright, trademark, trade secret, moral rights or other intellectual property rights, or rights of publicity or privacy; (ii) violates, or encourages any conduct that would violate, any applicable law or regulation or would give rise to civil liability; (iii) is fraudulent, knowingly false, misleading or deceptive; (iv) is defamatory, obscene, pornographic, vulgar or offensive; (v) promotes discrimination, bigotry, racism, hatred, harassment or harm against any individual or group; (vi) is violent or threatening or promotes violence or actions that are threatening to any person or entity; or (vii) promotes illegal or harmful activities or substances;",,unc,
unc,Disclose information that you do not have the right to disclose (such as confidential information of others (including your employer);,,unc,
unc,"Use, display, mirror or frame the Site, or any individual element within the Site or Services, Academia.edu’s name, any Academia.edu trademark, logo or other proprietary information, or the layout and design of any page or form contained on a page, without Academia.edu’s express written consent;",,unc,
unc,"Access, tamper with, or use non-public areas of the Site, Academia.edu’s computer systems, or the technical delivery systems of Academia.edu’s providers;",,unc,
unc,"Attempt to probe, scan, or test the vulnerability of any Academia.edu system or network or breach any security or authentication measures;",,unc,
unc,"Avoid, bypass, remove, deactivate, impair, descramble or otherwise circumvent any technological measure implemented by Academia.edu or any of Academia.edu’s providers or any other third party (including another user) to protect the Site, Services or Collective Content;",,unc,
unc,"Scrape or copy profiles and information of others through any means (including crawlers, browser plugins and add-ons, and any other technology or manual work);",,unc,
unc,"Sell, sponsor, or otherwise monetize any feature of the Services, without Academia.edu's consent;",,unc,
unc,"Attempt to access or search the Site, Services or Collective Content or download Collective Content from the Site or Services through the use of any engine, software, tool, agent, device or mechanism (including spiders, robots, crawlers, data mining tools or the like) other than the software and/or search agents provided by Academia.edu or other generally available third party web browsers;",,unc,
unc,"Use bots or other automated methods to access the Services, add or download contacts or profile information;",,unc,
